image,mos
Enhanced/DCP/1_DCP.png,0.498582948
Enhanced/DCP/2_DCP.png,0.491302923
Enhanced/DCP/3_DCP.png,0.562650503
Enhanced/DCP/4_DCP.png,0.548767038
Enhanced/DCP/5_DCP.png,0.520060652
Enhanced/DCP/6_DCP.png,0.537263439
Enhanced/DCP/7_DCP.png,0.526804576
Enhanced/DCP/8_DCP.png,0.549005563
Enhanced/DCP/9_DCP.png,0.538795009
Enhanced/DCP/10_DCP.png,0.696685321
Enhanced/DCP/11_DCP.png,0.490518254
Enhanced/DCP/12_DCP.png,0.507371794
Enhanced/DCP/13_DCP.png,0.508369238
Enhanced/DCP/14_DCP.png,0.414141581
Enhanced/DCP/15_DCP.png,0.565885325
Enhanced/DCP/16_DCP.png,0.355431936
Enhanced/DCP/17_DCP.png,0.508689855
Enhanced/DCP/18_DCP.png,0.672108507
Enhanced/DCP/19_DCP.png,0.442612285
Enhanced/DCP/20_DCP.png,0.582055214
Enhanced/DCP/21_DCP.png,0.36538721
Enhanced/DCP/22_DCP.png,0.384185047
Enhanced/DCP/23_DCP.png,0.466072431
Enhanced/DCP/24_DCP.png,0.351921615
Enhanced/DCP/25_DCP.png,0.567313851
Enhanced/DCP/26_DCP.png,0.463126032
Enhanced/DCP/27_DCP.png,0.467552367
Enhanced/DCP/28_DCP.png,0.444807845
Enhanced/DCP/29_DCP.png,0.579290013
Enhanced/DCP/30_DCP.png,0.711274196
Enhanced/DCP/31_DCP.png,0.607358751
Enhanced/DCP/32_DCP.png,0.468652214
Enhanced/DCP/33_DCP.png,0.512708675
Enhanced/DCP/34_DCP.png,0.499323264
Enhanced/DCP/35_DCP.png,0.445962721
Enhanced/DCP/36_DCP.png,0.383467149
Enhanced/DCP/37_DCP.png,0.494974617
Enhanced/DCP/38_DCP.png,0.585517486
Enhanced/DCP/39_DCP.png,0.398096509
Enhanced/DCP/40_DCP.png,0.484845669
Enhanced/DCP/41_DCP.png,0.451443412
Enhanced/DCP/42_DCP.png,0.587697306
Enhanced/DCP/43_DCP.png,0.522657542
Enhanced/DCP/44_DCP.png,0.618477085
Enhanced/DCP/45_DCP.png,0.584297576
Enhanced/DCP/46_DCP.png,0.364906614
Enhanced/DCP/47_DCP.png,0.338353125
Enhanced/DCP/48_DCP.png,0.406365116
Enhanced/DCP/49_DCP.png,0.36191455
Enhanced/DCP/50_DCP.png,0.245740469
Enhanced/DCP/51_DCP.png,0.301716351
Enhanced/DCP/52_DCP.png,0.342611764
Enhanced/DCP/53_DCP.png,0.432970882
Enhanced/DCP/54_DCP.png,0.304160718
Enhanced/DCP/55_DCP.png,0.237595876
Enhanced/DCP/56_DCP.png,0.408843905
Enhanced/DCP/57_DCP.png,0.431371637
Enhanced/DCP/58_DCP.png,0.385910278
Enhanced/DCP/59_DCP.png,0.556185708
Enhanced/DCP/60_DCP.png,0.681183381
Enhanced/DCP/61_DCP.png,0.677813056
Enhanced/DCP/62_DCP.png,0.711018889
Enhanced/DCP/63_DCP.png,0.571001947
Enhanced/DCP/64_DCP.png,0.474698621
Enhanced/DCP/65_DCP.png,0.40827429
Enhanced/DCP/66_DCP.png,0.438924572
Enhanced/DCP/67_DCP.png,0.624662259
Enhanced/DCP/68_DCP.png,0.549927319
Enhanced/DCP/69_DCP.png,0.48372967
Enhanced/DCP/70_DCP.png,0.589638783
Enhanced/DCP/71_DCP.png,0.669649885
Enhanced/DCP/72_DCP.png,0.480939537
Enhanced/DCP/73_DCP.png,0.463360671
Enhanced/DCP/74_DCP.png,0.809079789
Enhanced/DCP/75_DCP.png,0.773687457
Enhanced/DCP/76_DCP.png,0.452357482
Enhanced/DCP/77_DCP.png,0.423254148
Enhanced/DCP/78_DCP.png,0.580425279
Enhanced/DCP/79_DCP.png,0.548323497
Enhanced/DCP/80_DCP.png,0.59196446
